name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Paddington Library,,,,Westminster,,100023482172,E09000033,Bayswater,E05013793,51.5169107,-0.187042195,525889.7181000002,181334.01180000044
Artizan Street,,,,City of London,,95511788,E09000001,Portsoken,E05009308,51.51514611,-0.075183973,533655.5685,181335.99120000005
Guildhall Library and City Business Library,,,,City of London,,100023529028,E09000001,Bassishaw,E05009290,51.51556142,-0.091238833,532540.4502999997,181352.9759999998
Yeading Library,,,,Hillingdon,,100023417063,E09000017,Belmore,E05013564,51.52036818,-0.402580015,510927.11760000046,181370.1436999999
Jubilee Gardens Library,,,,Ealing,,12000640,E09000009,Lady Margaret,E05013526,51.52072747,-0.367926306,513330.3417999996,181463.16229999997
Custom House Library,,,,Newham,,10008990024,E09000025,Custom House,E05013908,51.51466945,0.033005735,541163.4386999998,181486.05340000056
Beckton Library,,,,Newham,,10008997116,E09000025,Beckton,E05013904,51.51452083,0.056999433,542828.6522000004,181516.05729999952
Canning Town Library,,,,Newham,,10008988046,E09000025,Canning Town North,E05013906,51.5168551,0.012662185,539745.2476000004,181690.03089999966
Marylebone Library,,,,Westminster,,100022725022,E09000033,Marylebone,E05013801,51.52012163,-0.149058338,528516.0016000001,181757.03680000082
Barbican,,,,City of London,,200000072620,E09000001,Cripplegate,E05009302,51.51944948,-0.092517837,532440.4364999998,181783.01579999924
Idea Store Whitechapel,,,,Tower Hamlets,,6000711,E09000030,Whitechapel,E05009336,51.51927063,-0.056427971,534944.699,181829.06519999914
Holborn Library,,,,Camden,,5082117,E09000007,Holborn & Covent Garden,E05013662,51.52067122,-0.11412,530938.2692999998,181880.03020000085
Hayes End Library,,,,Hillingdon,,100023417260,E09000017,Charville,E05013565,51.52547573,-0.434551689,508696.88159999996,181890.1992000006
Little Venice Sports Centre Library,,,,Westminster,,10033612553,E09000033,Little Venice,E05013799,51.52203057,-0.175608347,526668.7982000001,181923.06350000016
Church Street Library,,,,Westminster,,10033532267,E09000033,Church Street,E05013794,51.52252362,-0.168582114,527154.8507000003,181990.0661999993
Kensal Library,,,,Kensington and Chelsea,,217035223,E09000020,Golborne,E05009396,51.52333382,-0.205283983,524606.5698999995,182017.08359999955
Rainham Library,,,,Havering,,10024389958,E09000016,Rainham & Wennington,E05013979,51.51675181,0.192670878,552234.2363999998,182037.3936999999
Pitshanger Library,,,,Ealing,,12132976,E09000009,Pitshanger,E05013535,51.52539097,-0.31235373,517173.75100000016,182069.1958000008
Maida Vale Library,,,,Westminster,,100023511234,E09000033,Westbourne,E05013809,51.52416055,-0.188859128,525743.6946999999,182137.0889999997
Local History Library,,,,Tower Hamlets,,6033654,E09000030,Bethnal Green,E05009317,51.52330884,-0.040757515,536019.8086999999,182307.11360000074
Queen's Park library,,,,Kensington and Chelsea,,100023433123,E09000020,Golborne,E05009396,51.52651654,-0.209340014,524316.5339000002,182364.1166999992
Greenford Library,,,,Ealing,,12001186,E09000009,Greenford Broadway,E05013523,51.52930578,-0.353676795,514297.43180000037,182439.2575000003
Finsbury Library,,,,Islington,,5300084848,E09000019,Clerkenwell,E05013702,51.52597704,-0.102943118,531698.3505999995,182490.08060000092
Bethnal Green library,,,,Tower Hamlets,,6036905,E09000030,Bethnal Green,E05009317,51.52592691,-0.052150698,535221.7186000003,182577.1598000005
Charville Library,,,,Hillingdon,,100023417465,E09000017,Charville,E05013565,51.53458782,-0.425961931,509270.93840000033,182916.31770000048
Shoreditch Library,,,,Hackney,,100023135480,E09000012,Hoxton East & Shoreditch,E05009377,51.52992914,-0.078323828,533394.5259999996,182974.15530000068
Thames View,,,,Barking and Dagenham,,10091588559,E09000002,Thames View,E05014068,51.52735487,0.106154673,546198.0774999997,183040.18290000036
Plaistow Library,,,,Newham,,46096940,E09000025,Plaistow North,E05013918,51.52918631,0.027235955,540718.3915999997,183089.1964999996
St John's Wood Library,,,,Westminster,,10033532542,E09000033,Regent's Park,E05013805,51.53323428,-0.17084876,526967.8195000002,183177.17960000038
Pancras Square Library,,,,Camden,,5172479,E09000007,King's Cross,E05013666,51.53331656,-0.124801847,530161.1742000002,183267.1621000003
Camden Town Library,,,,Camden,,5021816,E09000007,Regent's Park,E05013668,51.53374045,-0.136162072,529372.085,183294.17109999992
Idea Store Bow,,,,Tower Hamlets,,6053810,E09000030,Bow East,E05009319,51.53204897,-0.028312673,536856.8925000001,183302.20849999972
East Ham Library,,,,Newham,,46253323,E09000025,East Ham,E05013909,51.5317699,0.057056061,542778.6666000001,183434.2620000001
Kilburn Library Centre,,,,Camden,,5134480,E09000007,Kilburn,E05013665,51.53588068,-0.189547539,525663.6728999997,183439.21160000004
South Hornchurch Library,,,,Havering,,100023214503,E09000016,South Hornchurch,E05013984,51.52970163,0.18917753,551948.8202,183470.1819000002
Northolt Library,,,,Ealing,,12140961,E09000009,Northolt West End,E05013532,51.53913239,-0.383852769,512180.24739999976,183485.3895999994
Harlesden,,,,Brent,,202110706,E09000005,Harlesden & Kensal Green,E05013501,51.53817576,-0.248902211,521541.2281999998,183594.26099999994
Oak Farm Library,,,,Hillingdon,,100023414220,E09000017,Hillingdon East,E05013571,51.54105794,-0.448540066,507689.7324999999,183602.3739
Lewis Carroll Children's Library,,,,Islington,,10012791189,E09000019,Barnsbury,E05013698,51.53656146,-0.115712865,530782.2418,183644.1894000005
Perivale Library,,,,Ealing,,12003797,E09000009,Perivale,E05013534,51.54009645,-0.32248201,516433.64549999963,183688.3708999995
Green Street Library,,,,Newham,,10009001054,E09000025,Green Street East,E05013913,51.53588095,0.036907327,541368.4901999999,183852.29389999993
South Library,,,,Islington,,5300031416,E09000019,St Mary's & St James',E05013710,51.53852804,-0.097142753,532064.3786000004,183896.22210000083
Barking,,,,Barking and Dagenham,,100053358,E09000002,Abbey,E05014053,51.5358099,0.081422904,544455.8778999997,183931.29659999907
Uxbridge Library,,,,Hillingdon,,100023421562,E09000017,Uxbridge,E05013580,51.54468289,-0.47672958,505726.45079999976,183964.38099999912
Chalk Farm (now Primrose Hill Community Library),,,,Camden,,5154072,E09000007,Primrose Hill,E05013667,51.54063196,-0.15509123,528039.9309,184027.24990000017
West Library,,,,Islington,,5300011807,E09000019,Barnsbury,E05013698,51.54023085,-0.114594977,530849.2467,184054.22629999928
Swiss Cottage Library,,,,Camden,,5061473,E09000007,Primrose Hill,E05013667,51.54178129,-0.171630986,526889.8021,184126.2686999999
Stratford Library,,,,Newham,,46101428,E09000025,Stratford,E05013924,51.54226038,0.005951316,539202.1903999997,184502.30709999986
Willesden Green,,,,Brent,,202216288,E09000005,Brondesbury Park,E05013498,51.54614396,-0.22734961,523014.3651999999,184516.32489999942
Dagenham,,,,Barking and Dagenham,,10023599312,E09000002,Village,E05014070,51.53986885,0.150073004,549203.432,184520.33400000073
Northolt Leisure Centre Library,,,,Ealing,,12173354,E09000009,Northolt Mandeville,E05013531,51.54839666,-0.366920507,513331.4550999999,184541.7106999997
Hackney Central Library,,,,Hackney,,10008243137,E09000012,Homerton,E05009376,51.54397082,-0.054481199,535006.6996999998,184579.3951999992
Dalston CLR James Library,,,,Hackney,,10008322989,E09000012,Dalston,E05009370,51.54553907,-0.072345591,533763.4253000002,184720.96050000004
Ealing Road,,,,Brent,,202102174,E09000005,Wembley Central,E05013514,51.54902978,-0.295856874,518256.8551000003,184724.4366999995
Belsize Community Library,,,,Camden,,5045720,E09000007,Belsize,E05013652,51.5473928,-0.160674101,527633.8814000003,184769.32039999962
Mildmay Library,,,,Islington,,5300062563,E09000019,Mildmay,E05013709,51.54709791,-0.082721131,533039.4786999999,184875.3741999995
West Hampstead Library,,,,Camden,,5037144,E09000007,West Hampstead,E05013671,51.54981004,-0.19003314,525591.6517000003,184987.3571000006
Barham Park,,,,Brent,,202209694,E09000005,Wembley Central,E05013514,51.55167842,-0.309851801,517279.74980000034,184996.4751999993
Wood End Library,,,,Ealing,,12001293,E09000009,North Greenford,E05013528,51.55227084,-0.348289165,514613.48979999963,185001.5287999995
Islington Central Library,,,,Islington,,5300033298,E09000019,Highbury,E05013704,51.54872784,-0.105545308,531452.3047000002,185015.33000000007
Kentish Town Library,,,,Camden,,5085726,E09000007,Kentish Town South,E05013664,51.54950403,-0.138864449,529140.0495999996,185042.33070000075
Queens Crescent Library,,,,Camden,,5055133,E09000007,Haverstock,E05013660,51.54997951,-0.149592003,528394.9660999998,185076.34119999968
The Gate Library ,,,,Newham,,10008993577,E09000025,Forest Gate South,E05013912,51.54719385,0.02711327,540654.4039000003,185091.4031000007
Homerton Library,,,,Hackney,,100023022501,E09000012,Hackney Wick,E05009374,51.54845395,-0.040153269,535986.7987000002,185104.42259999923
John Barnes Library,,,,Islington,,10093108781,E09000019,Holloway,E05013706,51.55043083,-0.124213467,530153.1623,185171.33180000074
South Ruislip Library,,,,Hillingdon,,10003002133,E09000017,South Ruislip,E05013579,51.55683414,-0.393563692,511463.59410000034,185439.10390000045
Manor Park Library,,,,Newham,,10008990819,E09000025,Manor Park,E05013916,51.55021122,0.048597724,542134.6150000002,185468.4849999994
Keats Community Library,,,,Camden,,5085918,E09000007,Hampstead Town,E05013659,51.55497759,-0.166629413,527199.8332000002,185602.40919999965
Cricklewood,,,,Brent,,202217896,E09000005,Cricklewood & Mapesbury,E05013499,51.556355,-0.225798393,523094.3821999999,185654.4218000006
Elm Park Library,,,,Havering,,100023214017,E09000016,Elm Park,E05013969,51.55199482,0.200125381,552633.6597999996,185971.87969999947
Ickenham Library,,,,Hillingdon,,100023413527,E09000017,Ickenham & South Harefield,E05013573,51.56302186,-0.441948781,508094.7598000001,186054.61950000003
Roxeth,,,,Harrow,,200000307802,E09000015,Roxeth,E05013559,51.56211325,-0.354959407,514126.4735000003,186085.63629999943
Harrow Green Community Library,,,,Waltham Forest,,100022963778,E09000031,Cann Hall,E05013882,51.5576213,0.008070079,539302.2171,186214.5019000005
North Library,,,,Islington,,5300060053,E09000019,Tollington,E05013712,51.55990827,-0.120173008,530406.1918000001,186232.43879999965
Leyton Library,,,,Waltham Forest,,10009148520,E09000031,Grove Green,E05013888,51.55822906,-0.005941923,538329.0767000001,186255.48809999973
Childs Hill ,,,,Barnet,,200219960,E09000003,Childs Hill,E05013631,51.56166852,-0.199092218,524931.1315000001,186290.5449000001
Redbridge Central Library,,,,Redbridge,,100023043071,E09000026,Clementswood,E05011240,51.55755549,0.076933039,544075.8660000004,186340.56909999996
Upminster Library,,,,Havering,,100023215782,E09000016,Upminster,E05013986,51.55463794,0.249745369,556064.4671,186370.44910000078
Stoke Newington Library,,,,Hackney,,100023154905,E09000012,Clissold,E05009369,51.56111212,-0.081208186,533103.5323999999,186436.53800000064
Valence,,,,Barking and Dagenham,,100002559,E09000002,Valence,E05014069,51.55806921,0.135478474,548132.3553999998,186514.57129999995
Goodmayes Library,,,,Redbridge,,100023050383,E09000026,Goodmayes,E05011244,51.55889344,0.110599992,546405.2585000005,186556.18759999983
Highgate Library,,,,Camden,,5090720,E09000007,Highgate,E05013661,51.56326752,-0.142487036,528850.0192999998,186566.48619999923
Clapton Library,,,,Hackney,,100023005817,E09000012,Hackney Downs,E05009373,51.56216084,-0.058336644,534685.7258000001,186595.04529999942
N4 Library,,,,Hackney,,10001298318,E09000012,Brownswood,E05009367,51.56332898,-0.101937018,531660.3578000003,186645.51400000043
Archway Library,,,,Islington,,10012791132,E09000019,Junction,E05013707,51.56517477,-0.134025306,529431.0851999996,186793.50349999964
Aldersbrook Library,,,,Redbridge,,100023583395,E09000026,Wanstead Park,E05011254,51.56285706,0.034606393,541125.4863999998,186847.60679999925
Preston,,,,Brent,,202120286,E09000005,Preston,E05013506,51.56968996,-0.294175125,518319.91060000006,187024.64489999972
Ruislip Manor Library,,,,Hillingdon,,10022800920,E09000017,Ruislip Manor,E05013578,51.57182885,-0.409969652,510290.04030000046,187081.73809999973
Seven Kings Library,,,,Redbridge,,10034922466,E09000026,Goodmayes,E05011244,51.5642506,0.10146687,545755.0900999997,187133.67049999908
Leytonstone Library,,,,Waltham Forest,,100023583898,E09000031,Leytonstone,E05013897,51.56766325,0.011976135,539542.2605999997,187338.63370000012
Woodberry Down Library,,,,Hackney,,10008328988,E09000012,Woodberry Down,E05009387,51.56958151,-0.089760986,532486.1323999995,187362.8139999993
Hornchurch Library,,,,Havering,,100023516053,E09000016,St Andrew's,E05013982,51.56438705,0.222200226,554122.1686000004,187396.15479999967
Stamford Hill Library,,,,Hackney,,100023159219,E09000012,Cazenove,E05009368,51.56986343,-0.070823934,533797.6502999999,187428.6615999993
Lea Bridge Library,,,,Waltham Forest,,200001422209,E09000031,Lea Bridge,E05013895,51.57019993,-0.021899496,537186.9409999996,187556.63949999958
Manor Farm Library,,,,Hillingdon,,100023034184,E09000017,Ruislip,E05013577,51.57749759,-0.426875733,509104.8929000003,187686.79609999992
Golders Green ,,,,Barnet,,200049056,E09000003,Childs Hill,E05013631,51.57425403,-0.200179203,524821.3454999998,187688.24689999968
Eastcote Library,,,,Hillingdon,,100023034643,E09000017,Eastcote,E05013567,51.57987055,-0.399015966,511029.53079999983,187992.54839999974
Robert Jeyes Community Library,,,,Barking and Dagenham,,100101901,E09000002,Whalebone,E05014071,51.57212135,0.144638198,548721.4527000003,188095.71700000018
Stroud Green and Harringay Library,,,,Haringey,,100023191010,E09000014,Harringay,E05013590,51.57704541,-0.104800835,531422.3614999996,188165.67650000006
Hornsey Library,,,,Haringey,,10022939468,E09000014,Crouch End,E05013588,51.5777629,-0.120331171,530344.2181000002,188217.6634999998
Wanstead Library,,,,Redbridge,,100022960264,E09000026,Wanstead Village,E05011255,51.57538383,0.026895284,540552.4265000001,188225.76710000075
Gayton,,,,Harrow,,10070263324,E09000015,Greenhill,E05013546,51.58118267,-0.330201874,515794.0245000003,188245.14059999958
Keith Axon Library,,,,Redbridge,,10090503264,E09000026,Chadwell,E05011237,51.57387616,0.122929149,547211.494,188247.01219999976
Gants Hill Library,,,,Redbridge,,10034912233,E09000026,Barkingside,E05011235,51.57712887,0.071676366,543649.8356999997,188506.8144000005
